2021-06-12 18:50:44 , NODE5 , Umidade Alta
2021-06-12 18:50:44 , NODE5 , Umidade Alta
2021-06-12 18:50:44 , NODE5 , Umidade Alta
2021-06-12 18:50:45 , NODE5 , Umidade Alta
