2021-06-17 13:45:05 , NODE6 , {"payload":"Consulta 18","hops":17,"sender":6,"type":"consulta","recipient":9,"path":"1236"}
2021-06-17 13:45:05 , NODE6 , {"payload":"Chegou ao destino!","hops":15,"sender":6,"type":"consulta","recipient":"3","path":"12"}
2021-06-17 13:45:13 , NODE6 , {"payload":"Consulta 16","hops":14,"sender":6,"type":"consulta","recipient":9,"path":"2541236"}
2021-06-17 13:45:14 , NODE6 , {"payload":"Consulta 16","hops":10,"sender":6,"type":"consulta","recipient":9,"path":"25412369856"}
2021-06-17 13:45:15 , NODE6 , {"payload":"Chegou ao destino!","hops":4,"sender":6,"type":"consulta","recipient":"5","path":"254123698"}
2021-06-17 13:45:16 , NODE6 , {"payload":"Chegou ao destino!","hops":0,"sender":6,"type":"consulta","recipient":"3","path":"25412"}
2021-06-17 13:45:20 , NODE6 , {"payload":"Consulta 12","hops":16,"sender":6,"type":"consulta","recipient":3,"path":"47896"}
2021-06-17 13:45:20 , NODE6 , {"payload":"Chegou ao destino!","hops":14,"sender":6,"type":"consulta","recipient":"9","path":"478"}
2021-06-17 13:45:31 , NODE6 , Encerrando o programa
